,precision,recall,f1-score,support
promotions,0.9055690072639225,0.9326683291770573,0.918918918918919,401.0
social,0.9948979591836735,0.9798994974874372,0.9873417721518988,398.0
spam,0.9824561403508771,0.9929078014184397,0.9876543209876543,282.0
updates,0.9190600522193212,0.8979591836734694,0.9083870967741936,392.0
accuracy,0.9477257298031229,0.9477257298031229,0.9477257298031229,0.9477257298031229
macro avg,0.9504957897544486,0.9508587029391009,0.9505755272081664,1473.0
weighted avg,0.9480154322585582,0.9477257298031229,0.9477629139558347,1473.0
